Key,Context,IsSmartString,es-AR,en
ui.discussion.title,Título de la pantalla de debate,false,Debate,Discussion
ui.discussion.start,Título que indica quién comienza la ronda,true,Jugador {player} comienza la ronda,{player} starts the round
ui.discussion.initial_player_label,Etiqueta del jugador que inicia,false,Jugador Inicial,Starting Player
ui.discussion.instructions_title,Título de instrucciones del debate,false,¿Quién es el Impostor?,Who Is the Impostor?
ui.discussion.instructions,Texto de ayuda del debate,false,"Hagan preguntas, acusen sin pruebas y descubran quién está mintiendo. Cuando estén listos, revelen el resultado.","Ask questions, make reckless accusations, and figure out who is lying. Reveal the result when you are ready."
ui.discussion.reveal_results,Botón para mostrar los resultados,false,Revelar resultado,Reveal Result
ui.results.title,Título de la pantalla de resultados,false,Revelación,Reveal
ui.results.impostors_label,Etiqueta de los impostores del resultado,false,Impostores:,Impostors:
ui.results.word_label,Etiqueta de la palabra del resultado,false,Palabra secreta:,Secret word:
ui.results.restart,Botón para jugar otra vez,false,Jugar de nuevo,Play Again
ui.results.menu,Botón para volver al menú,false,Volver al Menú,Back to Menu
ui.error.close,Botón para cerrar un error,false,Cerrar,Close
ui.error.word_database_missing,Error: falta WordDatabase,false,Falta asignar WordDatabase en el Inspector.,WordDatabase is not assigned in the Inspector.
ui.error.settings_null,Error: GameSettings nulo,false,La configuración de la partida no existe.,The game settings are missing.
ui.error.minimum_players,Error: faltan jugadores,false,Necesitás al menos 3 jugadores.,You need at least 3 players.
ui.error.no_categories,Error: no hay categorías habilitadas,false,Tenés que habilitar al menos una categoría.,Enable at least one category.
ui.error.minimum_impostors,Error: faltan impostores,false,Tenés que elegir al menos 1 impostor.,Choose at least 1 impostor.
ui.error.too_many_impostors,Error: hay demasiados impostores,false,La cantidad de impostores tiene que ser menor a la cantidad de jugadores.,There must be fewer impostors than players.
ui.error.round_not_started,Error: la ronda no empezó,false,La partida todavía no empezó.,The game has not started yet.
ui.error.invalid_settings,Error: configuración inválida,false,La configuración de la partida no es válida.,The game settings are invalid.
ui.error.no_word,Error: no hay palabra seleccionada,false,No hay una palabra seleccionada.,No word is selected.
ui.error.no_player_selected,Error: no hay jugador para revelar,false,No hay ningún jugador seleccionado para revelar.,No player is selected for reveal.
ui.error.invalid_player,Error: jugador inválido,false,El jugador seleccionado no es válido.,The selected player is invalid.
ui.error.player_not_in_game,Error: jugador ajeno a la partida,false,El jugador seleccionado no pertenece a esta partida.,The selected player is not part of this game.
ui.error.invalid_player_index,Error: índice de jugador inválido,false,El índice del jugador seleccionado no es válido.,The selected player index is invalid.
ui.error.category_missing,Error: categoría inexistente,true,No existe la categoría: {category},Category does not exist: {category}
ui.error.reroll_failed,Error: no se pudo cambiar la palabra,false,No se pudo elegir una nueva palabra.,Could not choose a new word.
ui.error.no_available_words,Error: categorías sin palabras,false,No hay categorías habilitadas con palabras.,No enabled category contains any words.
content.dynamic.player_hint,Pista para la categoría de jugadores actuales,false,Jugador de esta partida,Player in This Game
content.dynamic.player_description,Descripción de palabra dinámica para un jugador,true,{player} es un jugador de esta partida.,{player} is a player in this game.
