HintId,WordId,HintKey,Hint_es-AR,Hint_en
argentine_celebrities.ricardo_fort.hint.02,argentine_celebrities.ricardo_fort,hint.argentine_celebrities.ricardo_fort.hint.02,Miami,Miami
global_celebrities.cristiano_ronaldo.hint.01,global_celebrities.cristiano_ronaldo,hint.global_celebrities.cristiano_ronaldo.hint.01,Ego,Ego
global_celebrities.cristiano_ronaldo.hint.02,global_celebrities.cristiano_ronaldo,hint.global_celebrities.cristiano_ronaldo.hint.02,Millonario,Millionaire
global_celebrities.mia_khalifa.hint.01,global_celebrities.mia_khalifa,hint.global_celebrities.mia_khalifa.hint.01,Anteojos,Glasses
global_celebrities.mia_khalifa.hint.02,global_celebrities.mia_khalifa,hint.global_celebrities.mia_khalifa.hint.02,Actriz,Actress
global_celebrities.shakira.hint.01,global_celebrities.shakira,hint.global_celebrities.shakira.hint.01,Caderas,Hips
global_celebrities.shakira.hint.02,global_celebrities.shakira,hint.global_celebrities.shakira.hint.02,Cornuda,Cheated on
global_celebrities.bad_bunny.hint.01,global_celebrities.bad_bunny,hint.global_celebrities.bad_bunny.hint.01,Malo,Bad
global_celebrities.bad_bunny.hint.02,global_celebrities.bad_bunny,hint.global_celebrities.bad_bunny.hint.02,Latino,Latino
global_celebrities.tom_holland.hint.01,global_celebrities.tom_holland,hint.global_celebrities.tom_holland.hint.01,Araña,Spider
global_celebrities.ibai.hint.01,global_celebrities.ibai,hint.global_celebrities.ibai.hint.01,Físico,Built
global_celebrities.ibai.hint.02,global_celebrities.ibai,hint.global_celebrities.ibai.hint.02,Boxeo,Boxing
global_celebrities.elon_musk.hint.01,global_celebrities.elon_musk,hint.global_celebrities.elon_musk.hint.01,Cohete,Rocket
global_celebrities.jacob_elordi.hint.01,global_celebrities.jacob_elordi,hint.global_celebrities.jacob_elordi.hint.01,Besos,Kisses
global_celebrities.jacob_elordi.hint.02,global_celebrities.jacob_elordi,hint.global_celebrities.jacob_elordi.hint.02,Papucho,Heartthrob
global_celebrities.rubius.hint.01,global_celebrities.rubius,hint.global_celebrities.rubius.hint.01,Twitch,Twitch
global_celebrities.rubius.hint.02,global_celebrities.rubius,hint.global_celebrities.rubius.hint.02,Gatos,Cats
global_celebrities.justin_bieber.hint.01,global_celebrities.justin_bieber,hint.global_celebrities.justin_bieber.hint.01,Bebé,Baby
global_celebrities.german_garmendia.hint.01,global_celebrities.german_garmendia,hint.global_celebrities.german_garmendia.hint.01,Saludo,Greeting
global_celebrities.german_garmendia.hint.02,global_celebrities.german_garmendia,hint.global_celebrities.german_garmendia.hint.02,Chile,Chile
global_celebrities.lady_gaga.hint.01,global_celebrities.lady_gaga,hint.global_celebrities.lady_gaga.hint.01,Ropa,Clothes
global_celebrities.brad_pitt.hint.01,global_celebrities.brad_pitt,hint.global_celebrities.brad_pitt.hint.01,Facha,Good-looking
global_celebrities.mrbeast.hint.01,global_celebrities.mrbeast,hint.global_celebrities.mrbeast.hint.01,Juego,Game
global_celebrities.ed_sheeran.hint.01,global_celebrities.ed_sheeran,hint.global_celebrities.ed_sheeran.hint.01,Colorado,Redhead
countries.argentina.hint.01,countries.argentina,hint.countries.argentina.hint.01,Mate,Mate
countries.argentina.hint.02,countries.argentina,hint.countries.argentina.hint.02,Piola,Cool
countries.brasil.hint.01,countries.brasil,hint.countries.brasil.hint.01,Carnaval,Carnival
countries.brasil.hint.02,countries.brasil,hint.countries.brasil.hint.02,Joda,Party
countries.chile.hint.01,countries.chile,hint.countries.chile.hint.01,Cordillera,Andes
countries.chile.hint.02,countries.chile,hint.countries.chile.hint.02,Pasillo,Hallway
countries.uruguay.hint.01,countries.uruguay,hint.countries.uruguay.hint.01,Termo,Thermos
countries.uruguay.hint.02,countries.uruguay,hint.countries.uruguay.hint.02,Rebelde,Rebel
countries.paraguay.hint.01,countries.paraguay,hint.countries.paraguay.hint.01,Albañil,Bricklayer
countries.paraguay.hint.02,countries.paraguay,hint.countries.paraguay.hint.02,Idioma,Language
countries.bolivia.hint.01,countries.bolivia,hint.countries.bolivia.hint.01,Altura,Altitude
countries.bolivia.hint.02,countries.bolivia,hint.countries.bolivia.hint.02,Verdulería,Produce market
countries.peru.hint.01,countries.peru,hint.countries.peru.hint.01,Ruinas,Ruins
countries.peru.hint.02,countries.peru,hint.countries.peru.hint.02,Limón,Lime
countries.colombia.hint.01,countries.colombia,hint.countries.colombia.hint.01,Fafa,Coke
countries.colombia.hint.02,countries.colombia,hint.countries.colombia.hint.02,Acento,Accent
countries.mexico.hint.01,countries.mexico,hint.countries.mexico.hint.01,Inseguro,Unsafe
countries.mexico.hint.02,countries.mexico,hint.countries.mexico.hint.02,Narcos,Cartels
countries.estados_unidos.hint.01,countries.estados_unidos,hint.countries.estados_unidos.hint.01,Estrellas,Stars
countries.estados_unidos.hint.02,countries.estados_unidos,hint.countries.estados_unidos.hint.02,Azul,Blue
countries.canada.hint.01,countries.canada,hint.countries.canada.hint.01,Maple,Maple
countries.canada.hint.02,countries.canada,hint.countries.canada.hint.02,Hoja,Leaf
countries.espana.hint.01,countries.espana,hint.countries.espana.hint.01,Flamenco,Flamenco
countries.espana.hint.02,countries.espana,hint.countries.espana.hint.02,Youtubers,YouTubers
countries.francia.hint.01,countries.francia,hint.countries.francia.hint.01,Torre,Tower
countries.francia.hint.02,countries.francia,hint.countries.francia.hint.02,amor,Love
countries.italia.hint.01,countries.italia,hint.countries.italia.hint.01,Pasta,Pasta
countries.italia.hint.02,countries.italia,hint.countries.italia.hint.02,Costa,Coast
countries.alemania.hint.01,countries.alemania,hint.countries.alemania.hint.01,Autos,Cars
countries.alemania.hint.02,countries.alemania,hint.countries.alemania.hint.02,Historia,History
countries.japon.hint.01,countries.japon,hint.countries.japon.hint.01,Anime,Anime
countries.japon.hint.02,countries.japon,hint.countries.japon.hint.02,Autos,Cars
countries.china.hint.01,countries.china,hint.countries.china.hint.01,Muralla,Great Wall
countries.china.hint.02,countries.china,hint.countries.china.hint.02,Sucios,Dirty
countries.australia.hint.01,countries.australia,hint.countries.australia.hint.01,Animales,Animals
countries.australia.hint.02,countries.australia,hint.countries.australia.hint.02,Arañas,Spiders
countries.egipto.hint.01,countries.egipto,hint.countries.egipto.hint.01,Pirámide,Pyramid
countries.egipto.hint.02,countries.egipto,hint.countries.egipto.hint.02,Arena,Sand
countries.sudafrica.hint.01,countries.sudafrica,hint.countries.sudafrica.hint.01,Safari,Safari
countries.sudafrica.hint.02,countries.sudafrica,hint.countries.sudafrica.hint.02,Negros,Black people
foods.pizza.hint.01,foods.pizza,hint.foods.pizza.hint.01,Queso,Cheese
foods.hamburguesa.hint.01,foods.hamburguesa,hint.foods.hamburguesa.hint.01,Pan,Bun
foods.empanada.hint.01,foods.empanada,hint.foods.empanada.hint.01,Salta,Salta
foods.milanesa.hint.01,foods.milanesa,hint.foods.milanesa.hint.01,Empanado,Breaded
foods.asado.hint.01,foods.asado,hint.foods.asado.hint.01,Domingo,Sunday
foods.sushi.hint.01,foods.sushi,hint.foods.sushi.hint.01,Arroz,Rice
foods.taco.hint.01,foods.taco,hint.foods.taco.hint.01,Tortilla,Tortilla
foods.pasta.hint.01,foods.pasta,hint.foods.pasta.hint.01,Salsa,Sauce
foods.ravioles.hint.01,foods.ravioles,hint.foods.ravioles.hint.01,Relleno,Filling
foods.noquis.hint.01,foods.noquis,hint.foods.noquis.hint.01,Relieve,Ridges
foods.helado.hint.01,foods.helado,hint.foods.helado.hint.01,Frío,Cold
foods.torta.hint.01,foods.torta,hint.foods.torta.hint.01,Vela,Candle
foods.pancho.hint.01,foods.pancho,hint.foods.pancho.hint.01,Yanqui,American
foods.lomito.hint.01,foods.lomito,hint.foods.lomito.hint.01,Sándwich,Sandwich
foods.choripan.hint.01,foods.choripan,hint.foods.choripan.hint.01,Ruta,Road trip
foods.ensalada.hint.01,foods.ensalada,hint.foods.ensalada.hint.01,Verde,Green
foods.pollo_frito.hint.01,foods.pollo_frito,hint.foods.pollo_frito.hint.01,Crocante,Crispy
foods.papas_fritas.hint.01,foods.papas_fritas,hint.foods.papas_fritas.hint.01,Bastón,Stick
foods.arroz.hint.01,foods.arroz,hint.foods.arroz.hint.01,Grano,Grain
foods.lasana.hint.01,foods.lasana,hint.foods.lasana.hint.01,Capas,Layers
objects.celular.hint.01,objects.celular,hint.objects.celular.hint.01,Vicio,Addiction
objects.computadora.hint.01,objects.computadora,hint.objects.computadora.hint.01,Trabajo,Work
objects.teclado.hint.01,objects.teclado,hint.objects.teclado.hint.01,Luces,Lights
objects.mouse.hint.01,objects.mouse,hint.objects.mouse.hint.01,Roedor,Rodent
objects.monitor.hint.01,objects.monitor,hint.objects.monitor.hint.01,Imagen,Image
objects.mesa.hint.01,objects.mesa,hint.objects.mesa.hint.01,Apoyo,Support
objects.silla.hint.01,objects.silla,hint.objects.silla.hint.01,Trono,Throne
objects.botella.hint.01,objects.botella,hint.objects.botella.hint.01,Gimnasio,Gym
objects.vaso.hint.01,objects.vaso,hint.objects.vaso.hint.01,Vidrio,Glass
objects.plato.hint.01,objects.plato,hint.objects.plato.hint.01,Volador,Flying
objects.cuchara.hint.01,objects.cuchara,hint.objects.cuchara.hint.01,Sopa,Soup
objects.tenedor.hint.01,objects.tenedor,hint.objects.tenedor.hint.01,Punta,Prongs
objects.cuchillo.hint.01,objects.cuchillo,hint.objects.cuchillo.hint.01,Asesinato,Murder
objects.mochila.hint.01,objects.mochila,hint.objects.mochila.hint.01,Espalda,Back
objects.libro.hint.01,objects.libro,hint.objects.libro.hint.01,Hobby,Hobby
objects.lapiz.hint.01,objects.lapiz,hint.objects.lapiz.hint.01,Grafito,Graphite
objects.lapicera.hint.01,objects.lapicera,hint.objects.lapicera.hint.01,Escuela,School
objects.cuaderno.hint.01,objects.cuaderno,hint.objects.cuaderno.hint.01,Escuela,School
objects.auriculares.hint.01,objects.auriculares,hint.objects.auriculares.hint.01,Sonido,Sound
objects.control_remoto.hint.01,objects.control_remoto,hint.objects.control_remoto.hint.01,Sensor,Sensor
objects.televisor.hint.01,objects.televisor,hint.objects.televisor.hint.01,Series,Shows
objects.lampara.hint.01,objects.lampara,hint.objects.lampara.hint.01,Luz,Light
objects.cama.hint.01,objects.cama,hint.objects.cama.hint.01,Sexo,Sex
objects.almohada.hint.01,objects.almohada,hint.objects.almohada.hint.01,Cabeza,Head
objects.reloj.hint.01,objects.reloj,hint.objects.reloj.hint.01,Lujo,Luxury
objects.billetera.hint.01,objects.billetera,hint.objects.billetera.hint.01,Robo,Theft
objects.llaves.hint.01,objects.llaves,hint.objects.llaves.hint.01,Pérdida,Lost
objects.paraguas.hint.01,objects.paraguas,hint.objects.paraguas.hint.01,Paraguay,Paraguay
objects.zapatilla.hint.01,objects.zapatilla,hint.objects.zapatilla.hint.01,Cable,Cable
objects.campera.hint.01,objects.campera,hint.objects.campera.hint.01,Frío,Cold
objects.gorra.hint.01,objects.gorra,hint.objects.gorra.hint.01,Ropa,Clothes
objects.espejo.hint.01,objects.espejo,hint.objects.espejo.hint.01,Vestidor,Dressing room
objects.cepillo.hint.01,objects.cepillo,hint.objects.cepillo.hint.01,Cerdas,Bristles
objects.toalla.hint.01,objects.toalla,hint.objects.toalla.hint.01,Pileta,Pool
objects.jabon.hint.01,objects.jabon,hint.objects.jabon.hint.01,Limpio,Clean
objects.shampoo.hint.01,objects.shampoo,hint.objects.shampoo.hint.01,Ducha,Shower
objects.ventilador.hint.01,objects.ventilador,hint.objects.ventilador.hint.01,Viento,Wind
objects.heladera.hint.01,objects.heladera,hint.objects.heladera.hint.01,Frío,Cold
objects.microondas.hint.01,objects.microondas,hint.objects.microondas.hint.01,Cocina,Kitchen
objects.horno.hint.01,objects.horno,hint.objects.horno.hint.01,Calor,Heat
objects.sarten.hint.01,objects.sarten,hint.objects.sarten.hint.01,Fuego,Fire
objects.olla.hint.01,objects.olla,hint.objects.olla.hint.01,Agua,Water
objects.tijera.hint.01,objects.tijera,hint.objects.tijera.hint.01,Papel,Paper
objects.tijera.hint.02,objects.tijera,hint.objects.tijera.hint.02,Piedra,Rock
objects.cinta.hint.01,objects.cinta,hint.objects.cinta.hint.01,Círculo,Circle
objects.caja.hint.01,objects.caja,hint.objects.caja.hint.01,Guardar,Storage
objects.bolsa.hint.01,objects.bolsa,hint.objects.bolsa.hint.01,Guardar,Storage
objects.pelota.hint.01,objects.pelota,hint.objects.pelota.hint.01,Juego,Game
objects.bicicleta.hint.01,objects.bicicleta,hint.objects.bicicleta.hint.01,Distancia,Distance
objects.cargador.hint.01,objects.cargador,hint.objects.cargador.hint.01,Energía,Energy
objects.pendrive.hint.01,objects.pendrive,hint.objects.pendrive.hint.01,Archivos,Files
objects.pendrive.hint.02,objects.pendrive,hint.objects.pendrive.hint.02,Enchufar,Plug in
video_games.minecraft.hint.01,video_games.minecraft,hint.video_games.minecraft.hint.01,Bloques,Blocks
video_games.minecraft.hint.02,video_games.minecraft,hint.video_games.minecraft.hint.02,Mundos,Worlds
video_games.fortnite.hint.01,video_games.fortnite,hint.video_games.fortnite.hint.01,Construcción,Building
video_games.roblox.hint.01,video_games.roblox,hint.video_games.roblox.hint.01,Variedad,Variety
video_games.among_us.hint.01,video_games.among_us,hint.video_games.among_us.hint.01,Impostor,Impostor
video_games.gta.hint.01,video_games.gta,hint.video_games.gta.hint.01,Ciudad,City
video_games.gta.hint.02,video_games.gta,hint.video_games.gta.hint.02,Armas,Guns
video_games.the_sims.hint.01,video_games.the_sims,hint.video_games.the_sims.hint.01,Vida,Life
video_games.fifa.hint.01,video_games.fifa,hint.video_games.fifa.hint.01,Cancha,Field
video_games.call_of_duty.hint.01,video_games.call_of_duty,hint.video_games.call_of_duty.hint.01,Guerra,War
video_games.valorant.hint.01,video_games.valorant,hint.video_games.valorant.hint.01,Agentes,Agents
video_games.valorant.hint.02,video_games.valorant,hint.video_games.valorant.hint.02,Táctica,Tactics
video_games.league_of_legends.hint.01,video_games.league_of_legends,hint.video_games.league_of_legends.hint.01,Líneas,Lanes
video_games.counter_strike.hint.01,video_games.counter_strike,hint.video_games.counter_strike.hint.01,Bomba,Bomb
video_games.fall_guys.hint.01,video_games.fall_guys,hint.video_games.fall_guys.hint.01,Carrera,Race
video_games.mario_kart.hint.01,video_games.mario_kart,hint.video_games.mario_kart.hint.01,Italia,Italy
video_games.zelda.hint.01,video_games.zelda,hint.video_games.zelda.hint.01,Héroe,Hero
video_games.pokemon.hint.01,video_games.pokemon,hint.video_games.pokemon.hint.01,Criaturas,Creatures
video_games.resident_evil.hint.01,video_games.resident_evil,hint.video_games.resident_evil.hint.01,Zombies,Zombies
video_games.silent_hill.hint.01,video_games.silent_hill,hint.video_games.silent_hill.hint.01,Niebla,Fog
video_games.elden_ring.hint.01,video_games.elden_ring,hint.video_games.elden_ring.hint.01,Anillo,Ring
video_games.god_of_war.hint.01,video_games.god_of_war,hint.video_games.god_of_war.hint.01,Hacha,Axe
video_games.the_last_of_us.hint.01,video_games.the_last_of_us,hint.video_games.the_last_of_us.hint.01,Infectados,Infected
animals.perro.hint.01,animals.perro,hint.animals.perro.hint.01,Ladrido,Bark
animals.gato.hint.01,animals.gato,hint.animals.gato.hint.01,Maullido,Meow
animals.leon.hint.01,animals.leon,hint.animals.leon.hint.01,Melena,Mane
animals.tigre.hint.01,animals.tigre,hint.animals.tigre.hint.01,Rayas,Stripes
animals.elefante.hint.01,animals.elefante,hint.animals.elefante.hint.01,Trompa,Trunk
animals.jirafa.hint.01,animals.jirafa,hint.animals.jirafa.hint.01,Cuello,Neck
animals.mono.hint.01,animals.mono,hint.animals.mono.hint.01,Banana,Banana
animals.caballo.hint.01,animals.caballo,hint.animals.caballo.hint.01,Galope,Gallop
animals.vaca.hint.01,animals.vaca,hint.animals.vaca.hint.01,Leche,Milk
animals.cerdo.hint.01,animals.cerdo,hint.animals.cerdo.hint.01,Granja,Farm
animals.gallina.hint.01,animals.gallina,hint.animals.gallina.hint.01,Huevos,Eggs
animals.pato.hint.01,animals.pato,hint.animals.pato.hint.01,Cuac,Quack
animals.conejo.hint.01,animals.conejo,hint.animals.conejo.hint.01,Orejas,Ears
animals.oso.hint.01,animals.oso,hint.animals.oso.hint.01,Miel,Honey
animals.lobo.hint.01,animals.lobo,hint.animals.lobo.hint.01,Manada,Pack
animals.zorro.hint.01,animals.zorro,hint.animals.zorro.hint.01,Astuto,Sly
animals.delfin.hint.01,animals.delfin,hint.animals.delfin.hint.01,Salto,Jump
animals.tiburon.hint.01,animals.tiburon,hint.animals.tiburon.hint.01,Dientes,Teeth
animals.pinguino.hint.01,animals.pinguino,hint.animals.pinguino.hint.01,Hielo,Ice
animals.cocodrilo.hint.01,animals.cocodrilo,hint.animals.cocodrilo.hint.01,Mandíbula,Jaws
movies.titanic.hint.01,movies.titanic,hint.movies.titanic.hint.01,Barco,Ship
movies.titanic.hint.02,movies.titanic,hint.movies.titanic.hint.02,Amor,Amor
movies.avatar.hint.01,movies.avatar,hint.movies.avatar.hint.01,Azul,Blue
movies.avatar.hint.02,movies.avatar,hint.movies.avatar.hint.02,Conexión,Connection
movies.toy_story.hint.01,movies.toy_story,hint.movies.toy_story.hint.01,Suela,Sole
movies.toy_story.hint.02,movies.toy_story,hint.movies.toy_story.hint.02,Fiel,Loyal
movies.shrek.hint.01,movies.shrek,hint.movies.shrek.hint.01,Princesa,Princess
movies.shrek.hint.02,movies.shrek,hint.movies.shrek.hint.02,Cuernos,Horns
movies.frozen_una_aventura_congelada.hint.01,movies.frozen_una_aventura_congelada,hint.movies.frozen_una_aventura_congelada.hint.01,Hielo,Ice
movies.frozen_una_aventura_congelada.hint.02,movies.frozen_una_aventura_congelada,hint.movies.frozen_una_aventura_congelada.hint.02,Frío,Cold
movies.harry_potter.hint.01,movies.harry_potter,hint.movies.harry_potter.hint.01,Varita,Wand
movies.el_senor_de_los_anillos.hint.01,movies.el_senor_de_los_anillos,hint.movies.el_senor_de_los_anillos.hint.01,Anillo,Ring
movies.star_wars.hint.01,movies.star_wars,hint.movies.star_wars.hint.01,Galaxia,Galaxy
movies.jurassic_park.hint.01,movies.jurassic_park,hint.movies.jurassic_park.hint.01,Dinosaurio,Dinosaur
movies.avengers.hint.01,movies.avengers,hint.movies.avengers.hint.01,Equipo,Team
movies.coco.hint.01,movies.coco,hint.movies.coco.hint.01,Recuerdo,Memory
movies.buscando_a_nemo.hint.01,movies.buscando_a_nemo,hint.movies.buscando_a_nemo.hint.01,Océano,Ocean
movies.rapidos_y_furiosos.hint.01,movies.rapidos_y_furiosos,hint.movies.rapidos_y_furiosos.hint.01,Autos,Cars
movies.matrix.hint.01,movies.matrix,hint.movies.matrix.hint.01,Código,Code
movies.el_rey_leon.hint.01,movies.el_rey_leon,hint.movies.el_rey_leon.hint.01,Selva,Jungle
movies.intensa_mente.hint.01,movies.intensa_mente,hint.movies.intensa_mente.hint.01,Emoción,Emotion
movies.y_donde_estan_las_rubias.hint.01,movies.y_donde_estan_las_rubias,hint.movies.y_donde_estan_las_rubias.hint.01,Baile,Dance
movies.y_donde_estan_las_rubias.hint.02,movies.y_donde_estan_las_rubias,hint.movies.y_donde_estan_las_rubias.hint.02,Negros,Black people
movies.cincuenta_sombras_de_grey.hint.01,movies.cincuenta_sombras_de_grey,hint.movies.cincuenta_sombras_de_grey.hint.01,Sexo,Sex
movies.barbie.hint.01,movies.barbie,hint.movies.barbie.hint.01,Rosa,Pink
brands.nike.hint.01,brands.nike,hint.brands.nike.hint.01,Zapatilla,Sneaker
brands.adidas.hint.01,brands.adidas,hint.brands.adidas.hint.01,Rayas,Stripes
brands.apple.hint.01,brands.apple,hint.brands.apple.hint.01,Manzana,Apple
brands.samsung.hint.01,brands.samsung,hint.brands.samsung.hint.01,Pantalla,Screen
brands.coca_cola.hint.01,brands.coca_cola,hint.brands.coca_cola.hint.01,Rojo,Red
brands.pepsi.hint.01,brands.pepsi,hint.brands.pepsi.hint.01,Azul,Blue
brands.mcdonald_s.hint.01,brands.mcdonald_s,hint.brands.mcdonald_s.hint.01,Cajita,Happy Meal
brands.burger_king.hint.01,brands.burger_king,hint.brands.burger_king.hint.01,Corona,Crown
brands.netflix.hint.01,brands.netflix,hint.brands.netflix.hint.01,Streaming,Streaming
brands.disney.hint.01,brands.disney,hint.brands.disney.hint.01,Ratón,Mouse
brands.google.hint.01,brands.google,hint.brands.google.hint.01,Buscar,Search
brands.microsoft.hint.01,brands.microsoft,hint.brands.microsoft.hint.01,Ventana,Window
brands.amazon.hint.01,brands.amazon,hint.brands.amazon.hint.01,Paquete,Package
brands.playstation.hint.01,brands.playstation,hint.brands.playstation.hint.01,Control,Controller
brands.xbox.hint.01,brands.xbox,hint.brands.xbox.hint.01,Verde,Green
brands.nintendo.hint.01,brands.nintendo,hint.brands.nintendo.hint.01,Bigote,Mustache
brands.puma.hint.01,brands.puma,hint.brands.puma.hint.01,Felino,Feline
brands.gucci.hint.01,brands.gucci,hint.brands.gucci.hint.01,Lujo,Luxury
brands.zara.hint.01,brands.zara,hint.brands.zara.hint.01,Ropa,Clothes
brands.mercado_libre.hint.01,brands.mercado_libre,hint.brands.mercado_libre.hint.01,Compra,Shopping
professions.medico.hint.01,professions.medico,hint.professions.medico.hint.01,Guardapolvo,White coat
professions.abogado.hint.01,professions.abogado,hint.professions.abogado.hint.01,Juicio,Trial
professions.profesor.hint.01,professions.profesor,hint.professions.profesor.hint.01,Aula,Classroom
professions.programador.hint.01,professions.programador,hint.professions.programador.hint.01,Código,Code
professions.disenador.hint.01,professions.disenador,hint.professions.disenador.hint.01,Visual,Visual
professions.arquitecto.hint.01,professions.arquitecto,hint.professions.arquitecto.hint.01,Planos,Blueprints
professions.ingeniero.hint.01,professions.ingeniero,hint.professions.ingeniero.hint.01,Técnica,Technical
professions.cocinero.hint.01,professions.cocinero,hint.professions.cocinero.hint.01,Receta,Recipe
professions.policia.hint.01,professions.policia,hint.professions.policia.hint.01,Sirena,Siren
professions.bombero.hint.01,professions.bombero,hint.professions.bombero.hint.01,Fuego,Fire
professions.veterinario.hint.01,professions.veterinario,hint.professions.veterinario.hint.01,Mascota,Pet
professions.psicologo.hint.01,professions.psicologo,hint.professions.psicologo.hint.01,Mente,Mind
professions.contador.hint.01,professions.contador,hint.professions.contador.hint.01,Impuestos,Taxes
